Link ID,Body size reference,Body size methodology,mass.units,length.units,Taxonomy consumer,Lifestage consumer,Common name(s) consumer,Metabolic category consumer,Type of feeding interaction,Minimum length (m) consumer,Mean length (m) consumer,Maximum length (m) consumer,Minimum mass (g) consumer,Mean mass (g) consumer,Maximum mass (g) consumer,Taxonomy resource,Lifestage - resource,Common name(s) resource,Metabolic category resource,Minimum length (m) resource,Mean length (m) resource,Maximum length (m) resource,Minimum mass (g) resource,Mean mass (g) resource,Maximum mass (g) resource,Consumer/resource body mass ratio,Notes
1,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Bacteria,heterotrophic bacteria,herbivorous,NA,NA,NA,NA,0.00000001,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,0.0001,NA
2,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Benthic carnivores,invertebrate,predacious,NA,NA,NA,NA,10,NA,NA,adults,Benthic filter feeders,invertebrate,NA,NA,NA,NA,10,NA,1,NA
3,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Microzooplankton,invertebrate,herbivorous,NA,NA,NA,NA,0.0001,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,1,NA
4,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Microzooplankton,invertebrate,bacterivorous,NA,NA,NA,NA,0.0001,NA,NA,adults,Bacteria,heterotrophic bacteria,NA,NA,NA,NA,0.00000001,NA,10000,NA
5,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Microzooplankton,invertebrate,predacious,NA,NA,NA,NA,0.0001,NA,NA,adults,Microzooplankton,invertebrate,NA,NA,NA,NA,0.0001,NA,1,NA
6,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Mesozooplankton,invertebrate,herbivorous,NA,NA,NA,NA,0.01,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,100,NA
7,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Mesozooplankton,invertebrate,predacious,NA,NA,NA,NA,0.01,NA,NA,adults,Microzooplankton,invertebrate,NA,NA,NA,NA,0.0001,NA,100,NA
8,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Macrozooplankton,invertebrate,herbivorous,NA,NA,NA,NA,1,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,10000,NA
9,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Macrozooplankton,invertebrate,predacious,NA,NA,NA,NA,1,NA,NA,adults,Mesozooplankton,invertebrate,NA,NA,NA,NA,0.01,NA,100,NA
10,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Macrozooplankton,invertebrate,predacious,NA,NA,NA,NA,1,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,1,NA
11,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Gelatinous zooplankton,invertebrate,herbivorous,NA,NA,NA,NA,100,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,1000000,NA
12,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Gelatinous zooplankton,invertebrate,bacterivorous,NA,NA,NA,NA,100,NA,NA,adults,Bacteria,heterotrophic bacteria,NA,NA,NA,NA,0.00000001,NA,10000000000,NA
13,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Gelatinous zooplankton,invertebrate,predacious,NA,NA,NA,NA,100,NA,NA,adults,Microzooplankton,invertebrate,NA,NA,NA,NA,0.0001,NA,1000000,NA
14,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Gelatinous zooplankton,invertebrate,predacious,NA,NA,NA,NA,100,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,100,NA
15,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Anchovy,ectotherm vertebrate,herbivorous,NA,NA,NA,NA,11.5,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,115000,NA
16,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Anchovy,ectotherm vertebrate,predacious,NA,NA,NA,NA,11.5,NA,NA,adults,Microzooplankton,invertebrate,NA,NA,NA,NA,0.0001,NA,115000,NA
17,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Anchovy,ectotherm vertebrate,predacious,NA,NA,NA,NA,11.5,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,11.5,NA
18,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Pilchard,ectotherm vertebrate,herbivorous,NA,NA,NA,NA,280,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,2800000,NA
19,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Pilchard,ectotherm vertebrate,predacious,NA,NA,NA,NA,280,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,280,NA
20,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Round herring,ectotherm vertebrate,predacious,NA,NA,NA,NA,215.2,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,215.2,NA
21,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Lightfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,4.8,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,4.8,NA
22,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Lanternfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,6.9,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,6.9,NA
23,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Goby,ectotherm vertebrate,herbivorous,NA,NA,NA,NA,18.6,NA,NA,adults,Phytoplankton,photo-autotroph,NA,NA,NA,NA,0.0001,NA,186000,NA
24,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Goby,ectotherm vertebrate,predacious,NA,NA,NA,NA,18.6,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,18.6,NA
25,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other pelagics,ectotherm vertebrate,predacious,NA,NA,NA,NA,2554.85,NA,NA,adults,Benthic carnvores,invertebrate,NA,NA,NA,NA,10,NA,255.485,NA
26,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other pelagics,ectotherm vertebrate,predacious,NA,NA,NA,NA,2554.85,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,2554.85,NA
27,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other pelagics,ectotherm vertebrate,predacious,NA,NA,NA,NA,2554.85,NA,NA,adults,Gelatinous zooplankton,invertebrate,NA,NA,NA,NA,100,NA,25.5485,NA
28,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Horse mackerel,ectotherm vertebrate,predacious,NA,NA,NA,NA,5104.9,NA,NA,adults,Lanternfish,ectotherm vertebrate,NA,NA,NA,NA,6.9,NA,739.8405797,NA
29,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Horse mackerel,ectotherm vertebrate,predacious,NA,NA,NA,NA,5104.9,NA,NA,adults,Benthic carnivores,invertebrate,NA,NA,NA,NA,10,NA,510.49,NA
30,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Horse mackerel,ectotherm vertebrate,predacious,NA,NA,NA,NA,5104.9,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,5104.9,NA
31,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Chub mackerel,ectotherm vertebrate,predacious,NA,NA,NA,NA,3259.5,NA,NA,adults,Lanternfish,ectotherm vertebrate,NA,NA,NA,NA,6.9,NA,472.3913043,NA
32,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Chub mackerel,ectotherm vertebrate,predacious,NA,NA,NA,NA,3259.5,NA,NA,adults,Benthic carnivores,invertebrate,NA,NA,NA,NA,10,NA,325.95,NA
33,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Chub mackerel,ectotherm vertebrate,predacious,NA,NA,NA,NA,3259.5,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,3259.5,NA
34,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Chub mackerel,ectotherm vertebrate,predacious,NA,NA,NA,NA,3259.5,NA,NA,adults,Round herring,ectotherm vertebrate,NA,NA,NA,NA,215.2,NA,15.14637546,NA
35,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Round herring,ectotherm vertebrate,NA,NA,NA,NA,215.2,NA,60.99907063,NA
36,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Lightfish,ectotherm vertebrate,NA,NA,NA,NA,4.8,NA,2734.791667,NA
37,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Lanternfish,ectotherm vertebrate,NA,NA,NA,NA,6.9,NA,1902.463768,NA
38,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Goby,ectotherm vertebrate,NA,NA,NA,NA,18.6,NA,705.7526882,NA
39,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Other pelagics,ectotherm vertebrate,NA,NA,NA,NA,2554.85,NA,5.138070728,NA
40,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Other groundfish,ectotherm vertebrate,NA,NA,NA,NA,13127,NA,1,NA
41,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Hakes,ectotherm vertebrate,NA,NA,NA,NA,22994.5,NA,0.570875644,NA
42,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Squid,invertebrate,NA,NA,NA,NA,40,NA,328.175,NA
43,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Benthic carnivores,invertebrate,NA,NA,NA,NA,10,NA,1312.7,NA
44,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Mesozooplankton,invertebrate,NA,NA,NA,NA,0.01,NA,1312700,NA
45,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,13127,NA
46,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Other groundfish,ectotherm vertebrate,predacious,NA,NA,NA,NA,13127,NA,NA,adults,Anchovy,ectotherm vertebrate,NA,NA,NA,NA,11.5,NA,1141.478261,NA
47,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Pilchard,ectotherm vertebrate,NA,NA,NA,NA,280,NA,82.12321429,NA
48,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Round herring,ectotherm vertebrate,NA,NA,NA,NA,215.2,NA,106.8517658,NA
49,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Lightfish,ectotherm vertebrate,NA,NA,NA,NA,4.8,NA,4790.520833,NA
50,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Lanternfish,ectotherm vertebrate,NA,NA,NA,NA,6.9,NA,3332.536232,NA
51,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Goby,ectotherm vertebrate,NA,NA,NA,NA,18.6,NA,1236.263441,NA
52,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Horse mackerel,ectotherm vertebrate,NA,NA,NA,NA,5104.9,NA,4.504397736,NA
53,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Chub mackerel,ectotherm vertebrate,NA,NA,NA,NA,3259.5,NA,7.054609603,NA
54,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Other groundfish,ectotherm vertebrate,NA,NA,NA,NA,13127,NA,1.75169498,NA
55,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Hakes,ectotherm vertebrate,NA,NA,NA,NA,22994.5,NA,1,NA
56,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Squid,invertebrate,NA,NA,NA,NA,40,NA,574.8625,NA
57,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Mesozooplankton,invertebrate,NA,NA,NA,NA,0.01,NA,2299450,NA
58,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,22994.5,NA
59,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Hakes,ectotherm vertebrate,predacious,NA,NA,NA,NA,22994.5,NA,NA,adults,Anchovy,ectotherm vertebrate,NA,NA,NA,NA,11.5,NA,1999.521739,NA
60,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Squid,invertebrate,predacious,NA,NA,NA,NA,40,NA,NA,adults,Pilchard,ectotherm vertebrate,NA,NA,NA,NA,280,NA,0.142857143,NA
61,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Squid,invertebrate,predacious,NA,NA,NA,NA,40,NA,NA,adults,Round herring,ectotherm vertebrate,NA,NA,NA,NA,215.2,NA,0.185873606,NA
62,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Squid,invertebrate,predacious,NA,NA,NA,NA,40,NA,NA,adults,Lightfish,ectotherm vertebrate,NA,NA,NA,NA,4.8,NA,8.333333333,NA
63,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Squid,invertebrate,predacious,NA,NA,NA,NA,40,NA,NA,adults,Goby,ectotherm vertebrate,NA,NA,NA,NA,18.6,NA,2.150537634,NA
64,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Squid,invertebrate,predacious,NA,NA,NA,NA,40,NA,NA,adults,Horse mackerel,ectotherm vertebrate,NA,NA,NA,NA,5104.9,NA,0.007835609,NA
65,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Squid,invertebrate,predacious,NA,NA,NA,NA,40,NA,NA,adults,Other groundfish,ectotherm vertebrate,NA,NA,NA,NA,13127,NA,0.003047155,NA
66,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Squid,invertebrate,predacious,NA,NA,NA,NA,40,NA,NA,adults,Hakes,ectotherm vertebrate,NA,NA,NA,NA,22994.5,NA,0.001739546,NA
67,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Squid,invertebrate,predacious,NA,NA,NA,NA,40,NA,NA,adults,Squid,invertebrate,NA,NA,NA,NA,40,NA,1,NA
68,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Squid,invertebrate,predacious,NA,NA,NA,NA,40,NA,NA,adults,Benthic carnivores,invertebrate,NA,NA,NA,NA,10,NA,4,NA
69,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Squid,invertebrate,predacious,NA,NA,NA,NA,40,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,40,NA
70,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Squid,invertebrate,predacious,NA,NA,NA,NA,40,NA,NA,adults,Anchovy,ectotherm vertebrate,NA,NA,NA,NA,11.5,NA,3.47826087,NA
71,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Pilchard,ectotherm vertebrate,NA,NA,NA,NA,280,NA,3246.428571,NA
72,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Round herring,ectotherm vertebrate,NA,NA,NA,NA,215.2,NA,4223.977695,NA
73,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Lightfish,ectotherm vertebrate,NA,NA,NA,NA,4.8,NA,189375,NA
74,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Lanternfish,ectotherm vertebrate,NA,NA,NA,NA,6.9,NA,131739.1304,NA
75,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Goby,ectotherm vertebrate,NA,NA,NA,NA,18.6,NA,48870.96774,NA
76,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Other pelagics,ectotherm vertebrate,NA,NA,NA,NA,2554.85,NA,355.7938822,NA
77,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Horse mackerel,ectotherm vertebrate,NA,NA,NA,NA,5104.9,NA,178.0642128,NA
78,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Chub mackerel,ectotherm vertebrate,NA,NA,NA,NA,3259.5,NA,278.8771284,NA
79,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Hakes,ectotherm vertebrate,NA,NA,NA,NA,22994.5,NA,39.53119224,NA
80,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Squid,invertebrate,NA,NA,NA,NA,40,NA,22725,NA
81,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Benthic carnivores,invertebrate,NA,NA,NA,NA,10,NA,90900,NA
82,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Tunas,ectotherm vertebrate,predacious,NA,NA,NA,NA,909000,NA,NA,adults,Anchovy,ectotherm vertebrate,NA,NA,NA,NA,11.5,NA,79043.47826,NA
83,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Snoek,ectotherm vertebrate,predacious,NA,NA,NA,NA,13012.1,NA,NA,adults,Pilchard,ectotherm vertebrate,NA,NA,NA,NA,280,NA,46.47178571,NA
84,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Snoek,ectotherm vertebrate,predacious,NA,NA,NA,NA,13012.1,NA,NA,adults,Round herring,ectotherm vertebrate,NA,NA,NA,NA,215.2,NA,60.4651487,NA
85,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Snoek,ectotherm vertebrate,predacious,NA,NA,NA,NA,13012.1,NA,NA,adults,Lightfish,ectotherm vertebrate,NA,NA,NA,NA,4.8,NA,2710.854167,NA
86,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Snoek,ectotherm vertebrate,predacious,NA,NA,NA,NA,13012.1,NA,NA,adults,Lanternfish,ectotherm vertebrate,NA,NA,NA,NA,6.9,NA,1885.811594,NA
87,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Snoek,ectotherm vertebrate,predacious,NA,NA,NA,NA,13012.1,NA,NA,adults,Goby,ectotherm vertebrate,NA,NA,NA,NA,18.6,NA,699.5752688,NA
88,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Snoek,ectotherm vertebrate,predacious,NA,NA,NA,NA,13012.1,NA,NA,adults,Horse mackerel,ectotherm vertebrate,NA,NA,NA,NA,5104.9,NA,2.548943172,NA
89,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Snoek,ectotherm vertebrate,predacious,NA,NA,NA,NA,13012.1,NA,NA,adults,Hakes,ectotherm vertebrate,NA,NA,NA,NA,22994.5,NA,0.565878797,NA
90,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Snoek,ectotherm vertebrate,predacious,NA,NA,NA,NA,13012.1,NA,NA,adults,Squid,invertebrate,NA,NA,NA,NA,40,NA,325.3025,NA
91,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Snoek,ectotherm vertebrate,predacious,NA,NA,NA,NA,13012.1,NA,NA,adults,Benthic carnivores,invertebrate,NA,NA,NA,NA,10,NA,1301.21,NA
92,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Snoek,ectotherm vertebrate,predacious,NA,NA,NA,NA,13012.1,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,13012.1,NA
93,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Snoek,ectotherm vertebrate,predacious,NA,NA,NA,NA,13012.1,NA,NA,adults,Anchovy,ectotherm vertebrate,NA,NA,NA,NA,11.5,NA,1131.486957,NA
94,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Kob,ectotherm vertebrate,predacious,NA,NA,NA,NA,68000,NA,NA,adults,Pilchard,ectotherm vertebrate,NA,NA,NA,NA,280,NA,242.8571429,NA
95,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Kob,ectotherm vertebrate,predacious,NA,NA,NA,NA,68000,NA,NA,adults,Goby,ectotherm vertebrate,NA,NA,NA,NA,18.6,NA,3655.913978,NA
96,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Kob,ectotherm vertebrate,predacious,NA,NA,NA,NA,68000,NA,NA,adults,Horse mackerel,ectotherm vertebrate,NA,NA,NA,NA,5104.9,NA,13.32053517,NA
97,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Kob,ectotherm vertebrate,predacious,NA,NA,NA,NA,68000,NA,NA,adults,Chub mackerel,ectotherm vertebrate,NA,NA,NA,NA,3259.5,NA,20.86209541,NA
98,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Kob,ectotherm vertebrate,predacious,NA,NA,NA,NA,68000,NA,NA,adults,Other groundfish,ectotherm vertebrate,NA,NA,NA,NA,13127,NA,5.180163023,NA
99,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Kob,ectotherm vertebrate,predacious,NA,NA,NA,NA,68000,NA,NA,adults,Hakes,ectotherm vertebrate,NA,NA,NA,NA,22994.5,NA,2.957228903,NA
100,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Kob,ectotherm vertebrate,predacious,NA,NA,NA,NA,68000,NA,NA,adults,Squid,invertebrate,NA,NA,NA,NA,40,NA,1700,NA
101,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Kob,ectotherm vertebrate,predacious,NA,NA,NA,NA,68000,NA,NA,adults,Kob,ectotherm vertebrate,NA,NA,NA,NA,68000,NA,1,NA
102,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Kob,ectotherm vertebrate,predacious,NA,NA,NA,NA,68000,NA,NA,adults,Benthic carnivores,invertebrate,NA,NA,NA,NA,10,NA,6800,NA
103,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Kob,ectotherm vertebrate,predacious,NA,NA,NA,NA,68000,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,68000,NA
104,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Kob,ectotherm vertebrate,predacious,NA,NA,NA,NA,68000,NA,NA,adults,Anchovy,ectotherm vertebrate,NA,NA,NA,NA,11.5,NA,5913.043478,NA
105,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Yellowtail,ectotherm vertebrate,predacious,NA,NA,NA,NA,82040.3,NA,NA,adults,Pilchard,ectotherm vertebrate,NA,NA,NA,NA,280,NA,293.0010714,NA
106,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Yellowtail,ectotherm vertebrate,predacious,NA,NA,NA,NA,82040.3,NA,NA,adults,Round herring,ectotherm vertebrate,NA,NA,NA,NA,215.2,NA,381.2281599,NA
107,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Yellowtail,ectotherm vertebrate,predacious,NA,NA,NA,NA,82040.3,NA,NA,adults,Goby,ectotherm vertebrate,NA,NA,NA,NA,18.6,NA,4410.768817,NA
108,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Yellowtail,ectotherm vertebrate,predacious,NA,NA,NA,NA,82040.3,NA,NA,adults,Other pelagics,ectotherm vertebrate,NA,NA,NA,NA,2554.85,NA,32.11159168,NA
109,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Yellowtail,ectotherm vertebrate,predacious,NA,NA,NA,NA,82040.3,NA,NA,adults,Horse mackerel,ectotherm vertebrate,NA,NA,NA,NA,5104.9,NA,16.07089267,NA
110,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Yellowtail,ectotherm vertebrate,predacious,NA,NA,NA,NA,82040.3,NA,NA,adults,Chub mackerel,ectotherm vertebrate,NA,NA,NA,NA,3259.5,NA,25.16959656,NA
111,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Yellowtail,ectotherm vertebrate,predacious,NA,NA,NA,NA,82040.3,NA,NA,adults,Other groundfish,ectotherm vertebrate,NA,NA,NA,NA,13127,NA,6.249737183,NA
112,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Yellowtail,ectotherm vertebrate,predacious,NA,NA,NA,NA,82040.3,NA,NA,adults,Squid,invertebrate,NA,NA,NA,NA,40,NA,2051.0075,NA
113,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Yellowtail,ectotherm vertebrate,predacious,NA,NA,NA,NA,82040.3,NA,NA,adults,Macrozooplankton,invertebrate,NA,NA,NA,NA,1,NA,82040.3,NA
114,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Yellowtail,ectotherm vertebrate,predacious,NA,NA,NA,NA,82040.3,NA,NA,adults,Anchovy,ectotherm vertebrate,NA,NA,NA,NA,11.5,NA,7133.93913,NA
115,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Geelbek,ectotherm vertebrate,predacious,NA,NA,NA,NA,26127.38,NA,NA,adults,Pilchard,ectotherm vertebrate,NA,NA,NA,NA,280,NA,93.31207143,NA
116,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Geelbek,ectotherm vertebrate,predacious,NA,NA,NA,NA,26127.38,NA,NA,adults,Round herring,ectotherm vertebrate,NA,NA,NA,NA,215.2,NA,121.4097584,NA
117,Yodzis (1998),published account; expert; regression,g,m,NA,adults,Geelbek,ectotherm vertebrate,predacious,NA,NA,NA,NA,26127.38,NA,NA,adults,Goby,ectotherm vertebrate,NA,NA,NA,NA,18.6,NA,1404.697849,NA
